player_id,player_name,nickname,team_id,team_abbreviation,age,gp,w,l,w_pct,min,fgm,fga,fg_pct,fg3m,fg3a,fg3_pct,ftm,fta,ft_pct,oreb,dreb,reb,ast,tov,stl,blk,blka,pf,pfd,pts,plus_minus,nba_fantasy_pts,dd2,td3,gp_rank,w_rank,l_rank,w_pct_rank,min_rank,gm_rank,fga_rank,fg_pct_rank,fg3m_rank,fg3a_rank,fg3_pct_rank,ftm_rank,fta_rank,ft_pct_rank,oreb_rank,dreb_rank,reb_rank,ast_rank,tov_rank,stl_rank,blk_rank,blka_rank,pf_rank,pfd_rank,pts_rank,plus_minus_rank,nba_fantasy_pts_rank,dd2_rank,td3_rank,wnba_fantasy_pts_rank,leaguedashplayerstats
1630639,A.J. Lawson,A.J.,1610612742,DAL,22.0,13,5,8,0.385,4.8,1.0,2.0,0.5,0.5,1.2,0.438,0.1,0.2,0.333,0.2,0.6,0.8,0.1,0.1,0.1,0.0,0.2,0.6,0.2,2.6,-1.1,3.8,0,0,4.2,439,434,416,406,473,430,441,146,309,351,38,465,457,467,460,467,472,486,482,474,457,386,458,463,436,330,468,220,32,458
1631260,AJ Green,AJ,1610612749,MIL,23.0,27,21,6,0.778,9.8,1.6,3.6,0.449,1.3,3.0,0.427,0.1,0.1,1.0,0.1,0.9,1.1,0.6,0.3,0.2,0.0,0.0,1.0,0.1,4.7,-1.1,7.3,0,0,8.1,362,228,435,15,416,367,359,280,160,196,47,458,468,1,463,436,445,399,449,419,457,460,415,480,354,334,417,220,32,396
1631100,AJ Griffin,AJ,1610612737,ATL,19.0,56,26,30,0.464,20.4,3.7,7.7,0.478,1.5,3.8,0.395,0.5,0.5,0.867,0.5,1.6,2.1,1.0,0.6,0.7,0.1,0.3,1.2,0.5,9.3,-0.2,15.2,0,0,15.5,64,129,55,338,236,172,175,206,130,146,110,376,397,88,325,345,361,309,352,203,385,249,366,405,188,253,260,220,32,249
203932,Aaron Gordon,Aaron,1610612743,DEN,27.0,49,35,14,0.714,30.3,6.6,11.2,0.587,1.0,2.6,0.397,3.1,5.0,0.623,2.4,4.4,6.9,2.9,1.6,0.8,0.8,0.9,1.9,3.7,17.3,8.7,33.0,10,0,31.3,165,23,337,35,99,67,99,59,200,229,100,63,40,407,26,75,50,122,116,144,58,28,224,51,74,3,65,49,32,76
1628988,Aaron Holiday,Aaron,1610612737,ATL,26.0,51,27,24,0.529,14.3,1.5,3.7,0.415,0.6,1.5,0.413,0.5,0.5,0.857,0.4,0.9,1.3,1.3,0.6,0.5,0.2,0.3,1.3,0.9,4.1,-0.2,9.2,0,0,8.8,136,111,152,206,341,374,353,382,292,320,67,372,392,102,345,439,431,264,353,267,309,262,342,310,372,248,377,220,32,378
1630174,Aaron Nesmith,Aaron,1610612754,IND,23.0,54,22,32,0.407,24.7,3.4,8.0,0.418,1.5,4.3,0.352,1.6,1.9,0.87,0.8,2.9,3.7,1.2,0.9,0.8,0.4,0.6,3.4,2.0,9.8,-1.4,18.9,1,0,18.7,93,215,42,394,180,198,164,369,128,121,213,152,179,83,208,181,194,271,240,149,161,102,6,146,174,363,209,162,32,199
1630598,Aaron Wiggins,Aaron,1610612760,OKC,24.0,47,25,22,0.532,18.4,2.4,4.8,0.504,0.7,1.7,0.4,0.8,1.0,0.83,1.0,2.1,3.1,1.3,0.9,0.5,0.2,0.5,1.7,0.9,6.4,0.3,13.3,1,0,12.9,184,151,187,205,261,272,290,139,277,302,92,272,290,145,143,282,243,252,264,300,315,137,267,315,284,207,300,162,32,296
1629678,Admiral Schofield,Admiral,1610612753,ORL,25.0,27,11,16,0.407,13.0,1.6,3.4,0.478,0.7,2.0,0.333,0.6,0.7,0.895,0.7,1.2,1.9,0.9,0.2,0.2,0.1,0.1,1.9,0.9,4.6,-2.0,8.9,0,0,8.7,362,368,309,394,367,367,372,205,281,277,273,323,362,54,244,394,373,355,463,419,399,424,202,325,359,402,380,220,32,382
201143,Al Horford,Al,1610612738,BOS,36.0,46,33,13,0.717,30.7,3.5,7.4,0.468,2.0,4.8,0.423,0.3,0.4,0.722,1.2,5.0,6.2,2.7,0.6,0.5,0.9,0.1,1.9,0.7,9.2,4.8,24.3,4,0,23.0,197,32,352,32,90,186,188,226,67,93,55,424,426,316,109,59,65,128,339,297,40,408,207,373,191,25,133,93,32,139
202692,Alec Burks,Alec,1610612765,DET,31.0,48,12,36,0.25,21.9,3.9,8.9,0.442,1.9,4.5,0.431,3.0,3.6,0.811,0.4,2.6,3.0,2.2,1.1,0.7,0.1,0.3,1.9,2.7,12.7,-0.1,21.2,0,0,21.6,175,352,22,456,214,160,141,303,75,109,40,68,71,177,363,215,254,166,187,181,363,278,197,92,118,242,179,220,32,159
1630197,Aleksej Pokusevski,Aleksej,1610612760,OKC,21.0,31,15,16,0.484,21.9,3.5,7.8,0.44,1.2,3.3,0.376,0.7,1.1,0.636,1.5,3.6,5.1,2.0,1.3,0.6,1.3,0.2,1.8,0.9,8.8,-6.0,22.5,3,0,21.0,337,307,309,301,215,187,173,309,167,178,158,308,282,399,90,124,99,181,155,217,15,314,231,309,202,501,158,105,32,169
1627936,Alex Caruso,Alex,1610612741,CHI,28.0,50,21,29,0.42,24.2,1.9,4.2,0.445,0.8,2.1,0.377,0.9,1.2,0.793,0.6,2.5,3.1,3.2,1.3,1.6,0.7,0.3,2.5,1.7,5.5,2.9,19.6,1,0,17.2,153,228,67,382,182,329,329,294,246,270,152,253,265,196,275,226,247,105,159,11,82,287,86,175,318,61,197,162,32,216
203458,Alex Len,Alex,1610612758,SAC,29.0,14,9,5,0.643,3.4,0.4,0.7,0.5,0.0,0.1,0.0,0.2,0.3,0.75,0.3,0.8,1.1,0.4,0.4,0.0,0.0,0.0,0.7,0.2,0.9,-0.8,2.3,0,0,2.4,432,398,444,92,486,488,503,146,449,471,449,439,447,258,406,448,446,447,407,482,457,464,448,466,489,303,491,220,32,492
1628993,Alize Johnson,Alize,1610612759,SAS,26.0,4,1,3,0.25,7.4,0.8,1.5,0.5,0.0,0.5,0.0,0.3,0.5,0.5,0.5,2.0,2.5,0.3,1.0,0.3,0.0,0.0,0.8,1.0,1.8,3.0,4.9,0,0,5.0,477,478,467,456,445,454,465,146,449,414,449,428,403,441,299,293,306,462,215,404,457,464,443,281,463,54,452,220,32,444
1631214,Alondes Williams,Alondes,1610612751,BKN,23.0,1,1,0,1.0,5.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,-5.0,-0.8,0,0,1.0,500,478,501,1,467,502,508,502,449,489,449,471,475,471,489,417,447,487,75,482,457,464,399,488,503,491,510,220,32,502
1630578,Alperen Sengun,Alperen,1610612745,HOU,20.0,54,10,44,0.185,28.2,5.9,10.5,0.555,0.2,0.7,0.333,3.0,4.0,0.753,3.1,5.6,8.8,3.7,2.5,0.8,0.9,0.8,3.4,4.6,14.9,-3.7,33.9,18,2,31.2,93,384,3,484,133,85,111,79,388,388,273,65,63,254,12,45,25,83,45,131,38,53,7,27,90,467,62,25,9,77
